date,pressure
2015-03-31,1.63
2015-06-30,1.88
2015-09-30,1.73
2015-12-31,1.77
2016-03-31,1.47
2016-06-30,1.46
2016-09-30,1.09
2016-12-31,1.13
2017-03-31,1.65
2017-06-30,1.59
2017-09-30,1.75
2017-12-31,1.75
2018-03-31,1.42
2018-06-30,1.49
2018-09-30,1.50
2018-12-31,0.94
2019-03-31,0.37
2019-06-30,0.01
2019-09-30,0.01
2019-12-31,0.27
2020-03-31,-0.97
2020-06-30,-1.33
2020-09-30,-0.52
2020-12-31,0.38
2021-03-31,1.20
2021-06-30,1.96
2021-09-30,2.36
2021-12-31,2.97
2022-03-31,3.79
2022-06-30,4.04
2022-09-30,3.69
2022-12-31,3.52
2023-03-31,2.78
2023-06-30,2.24
2023-09-30,1.77
2023-12-31,1.31
2024-03-31,0.59
2024-06-30,0.28
2024-09-30,0.07
2024-12-31,0.27
2025-01-31,0.06
2025-02-28,0.21
2025-03-31,0.11
2025-04-30,0.22
2025-05-31,0.57
2025-06-30,0.57
2025-07-31,0.73
2025-08-31,0.67
2025-09-30,0.62
2025-10-31,0.93
2025-11-30,1.09
2025-12-31,0.99
